Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
1,181,290,2,0,0,5,120,58,8,40,16,2,100,10,8
1,182,160,0,0,0,0,160,36,0,36,3,4,0,10,10
1,183,180,3,2,0,10,160,36,0,36,3,4,0,8,0
1,184,160,2,0,0,0,150,35,0,34,2,4,0,10,0
1,185,220,0,0,0,0,210,51,0,50,4,6,0,10,4
1,186,240,3,2,0,10,220,50,0,50,3,4,0,10,0
1,187,220,2,0,0,0,210,49,0,47,3,4,0,10,0
1,188,310,0,0,0,5,300,70,0,69,6,10,0,20,6
1,189,350,5,3,0,15,300,70,0,69,5,8,0,15,2
1,190,310,3,0,0,0,300,68,1,66,5,6,0,20,2
1,191,180,1,0,0,0,150,42,1,40,3,4,0,10,8
1,192,200,3,2,0,10,160,42,1,40,3,4,0,8,6
1,193,180,2,1,0,0,150,40,1,38,3,4,0,10,10
1,194,260,1,1,0,0,220,61,1,58,4,6,0,10,8
1,195,290,4,3,0,10,220,61,1,58,4,4,0,10,8
1,196,260,3,1,0,0,220,59,1,55,4,4,0,10,15
1,197,340,1,1,0,5,300,80,1,76,7,10,0,15,10
1,198,390,6,4,0,15,300,80,1,76,6,8,0,15,10
1,199,350,3,1,0,0,290,78,2,73,6,6,0,20,20
1,200,180,0,0,0,0,160,42,0,41,3,4,0,10,0
1,201,200,3,2,0,10,160,42,0,41,3,4,0,8,0
1,202,180,2,0,0,0,150,40,0,39,2,4,0,10,4
1,203,280,0,0,0,0,220,60,0,59,4,6,0,10,0
1,204,280,4,2,0,10,220,60,0,59,3,4,0,10,0
1,205,260,2,0,0,0,220,58,0,56,3,4,0,10,6
1,206,330,0,0,0,5,290,78,0,77,5,10,0,15,2
1,207,370,5,3,0,15,300,78,0,77,5,8,0,15,2
1,208,340,3,0,0,0,290,75,1,73,5,6,0,20,8
1,209,220,3,2,0,0,170,47,1,44,4,4,0,10,20
1,210,240,5,4,0,10,170,47,1,44,4,4,0,8,20
1,211,220,4,3,0,0,170,45,1,42,3,4,0,10,20
1,212,310,4,3,0,0,250,67,2,62,5,6,0,10,25
1,213,340,7,5,0,10,250,67,2,62,5,4,0,10,25
